,index,calories,carbs,category,fats,name
0,134,0,0,[Drinks],0,A&W® Diet Root Beer
1,135,0,0,[Drinks],0,A&W® Diet Root Beer
2,136,0,0,[Drinks],0,A&W® Diet Root Beer
3,137,0,0,[Drinks],0,A&W® Diet Root Beer
4,138,0,0,[Drinks],0,A&W® Diet Root Beer
5,139,0,0,[Drinks],0,A&W® Diet Root Beer
6,140,350,60,[Shakes],10,A&W® Diet Root Beer Float (large)
7,141,170,30,[Shakes],5,A&W® Diet Root Beer Float (medium)
8,142,170,30,[Shakes],5,A&W® Diet Root Beer Float (small)
9,143,600,92,[Shakes],18,A&W® Diet Root Beer Freeze (large)
10,144,340,53,[Shakes],10,A&W® Diet Root Beer Freeze (medium)
11,145,260,39,[Shakes],8,A&W® Diet Root Beer Freeze (small)
12,146,160,43,[Drinks],0,A&W® Root Beer
13,147,220,58,[Drinks],0,A&W® Root Beer
14,148,270,72,[Drinks],0,A&W® Root Beer
15,149,440,116,[Drinks],0,A&W® Root Beer
16,150,880,232,[Drinks],0,A&W® Root Beer
17,151,1760,464,[Drinks],0,A&W® Root Beer
18,152,640,136,[Shakes],10,A&W® Root Beer Float (large)
19,153,350,77,[Shakes],5,A&W® Root Beer Float (medium)
20,154,330,70,[Shakes],5,A&W® Root Beer Float (small)
21,155,820,150,[Shakes],18,A&W® Root Beer Freeze (large)
22,156,480,89,[Shakes],10,A&W® Root Beer Freeze (medium)
23,157,370,68,[Shakes],8,A&W® Root Beer Freeze (small)
24,158,270,67,[Drinks],0,Blue Raspberry Slushee
25,159,370,91,[Drinks],0,Blue Raspberry Slushee
26,160,570,142,[Drinks],0,Blue Raspberry Slushee
27,161,740,182,[Drinks],0,Blue Raspberry Slushee
28,162,480,62,[Sides],27,Breaded Onion Rings (Large)
29,163,350,45,[Sides],16,Breaded Onion Rings (Regular)
30,164,340,57,[Desserts],9,Caramel Sundae
31,165,1140,54,[Sides],80,Cheese Curds (Large)
32,166,570,27,[Sides],40,Cheese Curds (Regular)
33,167,350,26,[Entrees],22,Cheese Dog
34,168,390,50,"[French, Fries]",18,Cheese Fries
35,169,420,37,[Burgers],21,Cheeseburger
36,170,190,51,[Drinks],0,Cherry Limeade
37,171,300,79,[Drinks],0,Cherry Limeade
38,172,340,90,[Drinks],0,Cherry Limeade
39,173,530,138,[Drinks],0,Cherry Limeade
40,174,330,83,[Drinks],0,Cherry Slushee
41,175,450,112,[Drinks],0,Cherry Slushee
42,176,570,141,[Drinks],0,Cherry Slushee
43,177,900,224,[Drinks],0,Cherry Slushee
44,178,500,32,[Chicken],29,Chicken Strips- 3 pieces
45,179,190,22,[Sides],6,Chili
46,180,410,52,"[French, Fries]",17,Chili Cheese Fries
47,181,370,49,"[French, Fries]",15,Chili Fries
48,182,490,68,[Desserts],30,Chocolate Fudge Blendrrr
49,183,560,92,[Desserts],32,Chocolate Fudge Blendrrr
50,184,1010,152,[Desserts],59,Chocolate Fudge Blendrrr
51,185,880,125,[Shakes],36,Chocolate Milkshake (medium)
52,186,700,100,[Shakes],29,Chocolate Milkshake (small)
53,187,320,53,[Desserts],8,Chocolate Sundae
54,188,380,28,[Entrees],23,Coney (Chili) Cheese Dog
55,189,340,26,[Entrees],20,Coney (Chili) Dog
56,190,280,32,[Sides],13,Corn Dog Nuggets® (Regular)
57,191,180,20,[Sides],8,Corn Dog Nuggets® (Small/ Kids)
58,192,550,52,[Chicken],25,Crispy Chicken Sandwich
59,193,340,34,[Seafood],19,Crunchy Shrimp
60,194,170,2,[Sides],12,Extra Burger Patty
61,195,430,61,"[French, Fries]",17,French Fries (Large)
62,196,310,45,"[French, Fries]",12,French Fries (Regular)
63,197,200,28,"[French, Fries]",8,French Fries (Small/ Kids)
64,198,400,31,[Chicken],15,Grilled Chicken Sandwich
65,199,380,33,[Burgers],19,Hamburger
66,200,310,23,[Entrees],19,Hot Dog (plain)
67,201,350,54,[Desserts],11,Hot Fudge Sundae
68,202,330,82,[Drinks],0,Lemon Slushee
69,203,440,110,[Drinks],0,Lemon Slushee
70,204,560,139,[Drinks],0,Lemon Slushee
71,205,890,221,[Drinks],0,Lemon Slushee
72,206,280,69,[Drinks],0,Lime Slushee
73,207,380,94,[Drinks],0,Lime Slushee
74,208,480,119,[Drinks],0,Lime Slushee
75,209,770,188,[Drinks],0,Lime Slushee
76,210,140,38,[Drinks],0,Limeade
77,211,210,55,[Drinks],0,Limeade
78,212,250,66,[Drinks],0,Limeade
79,213,390,103,[Drinks],0,Limeade
80,214,710,107,[Desserts],25,M&M’s® Polar Swirl®
81,215,610,137,[Shakes],9,Orange Float (large)
